,Título da Notícia,Tema,URL
1741,"
Dilma proíbe atletas de bater continência em hino no Pan? Não!
",esporte,www.boatos.org/esporte/dilma-proibe-atletas-de-bater-continencia-em-hino-no-pan-nao.html
1742,"
Lei do estacionamento gratuito em shopping é aprovada, diz hoax
",politica,www.boatos.org/politica/lei-do-estacionamento-gratuito-em-shopping-e-aprovada-diz-hoax.html
1743,"
Motoqueiro fantasma prende e mata bandidos em Teresina, diz balela
",brasil,www.boatos.org/brasil/motoqueiro-fantasma-prende-e-mata-bandidos-em-teresina-diz-balela.html
1744,"
Globo será vendida para a BBC, diz notícia falsa
",brasil,www.boatos.org/brasil/globo-sera-vendida-para-a-bbc-diz-noticia-falsa.html
1745,"
Hoax: aparelhos devem ser desligados por causa de raios, diz AES Sul
",tecnologia,www.boatos.org/tecnologia/hoax-aparelhos-devem-ser-desligados-por-causa-de-raios-diz-aes-sul.html
1746,"
Novas multas do Detran a partir de hoje #boato
",brasil,www.boatos.org/brasil/corrente-falsa-fala-de-novas-multas-do-detran-a-partir-de-hoje.html
1747,"
5 boatos sobre o WhatsApp que circulam na internet
",tecnologia,www.boatos.org/tecnologia/5-boatos-sobre-o-whatsapp-que-circulam-na-internet.html
1748,"
WhatsApp irá cobrar 0,37 centavos a partir de 30/07 #boato
",tecnologia,www.boatos.org/tecnologia/whatsapp-ira-cobrar-037-centavos-a-partir-de-3007-diz-balela.html
1749,"
Foto de ponte rachada assusta internautas; saiba onde fica
",brasil,www.boatos.org/brasil/foto-de-ponte-rachada-assusta-internautas-saiba-onde-fica.html
1750,"
Caso de botulismo com a salsicha Pif Paf é confirmado, diz hoax
",saude,www.boatos.org/saude/caso-de-botulismo-com-a-salsicha-pif-paf-e-confirmado-diz-hoax.html
1751,"
Dilma compra mansão de R$ 5 mi em Porto Alegre, diz balela
",politica,www.boatos.org/politica/dilma-compra-mansao-de-r-5-mi-em-porto-alegre-diz-balela.html
1752,"
FHC tem apartamento de 11 milhões de euros em Paris, diz boato
",politica,www.boatos.org/politica/fhc-tem-apartamento-de-11-milhoes-de-euros-em-paris-diz-boato.html
1753,"
Marido de Maju está envolvido na Lava-Jato, diz texto falso
",entretenimento,www.boatos.org/entretenimento/marido-de-maju-esta-envolvido-na-lava-jato-diz-texto-falso.html
1754,"
Lista mostra real maioridade penal no mundo #boato
",politica,www.boatos.org/politica/maioridade-penal-no-mundo-lista-falsa-circula-na-web.html
1755,"
Foto falsa mostra Dilma, Pablo Escobar e Cristina Kirchner
",politica,www.boatos.org/politica/foto-falsa-mostra-dilma-pablo-escobar-e-cristina-kirchner.html
1756,"
Luciano Huck doou R$2 mi para Santa Casa, diz história falsa
",entretenimento,www.boatos.org/entretenimento/luciano-huck-doou-r2-mi-para-santa-casa-diz-historia-falsa.html
1757,"
Criança está perdida na rua Santo Antônio, diz boato
",brasil,www.boatos.org/brasil/crianca-esta-perdida-na-rua-santo-antonio-diz-boato.html
1758,"
História falsa: norueguesa dá a luz a bebê elefante
",mundo,www.boatos.org/mundo/historia-falsa-norueguesa-da-a-luz-a-bebe-elefante.html
1759,"
Tônia Carrero morreu: boato de morte da atriz circula na web
",entretenimento,www.boatos.org/entretenimento/tonia-carrero-morreu-boato-de-morte-da-atriz-circula-na-web.html
1760,"
6 boatos que surgiram na internet após a morte de Cristiano Araújo
",entretenimento,www.boatos.org/entretenimento/6-boatos-que-surgiram-na-internet-apos-a-morte-de-cristiano-araujo.html
1761,"
Mataram o cara que filmou corpo de Cristiano Araújo, diz balela
",brasil,www.boatos.org/brasil/mataram-o-cara-que-filmou-corpo-de-cristiano-araujo-diz-balela.html
1762,"
Texto de Fábio de Melo sobre Cristiano Araújo é falso
",religiao,www.boatos.org/religiao/texto-de-fabio-de-melo-sobre-cristiano-araujo-e-falso.html
1763,"
Fã pula do 2º andar após saber de morte de Cristiano Araújo, diz boato
",entretenimento,www.boatos.org/entretenimento/fa-pula-do-2o-andar-apos-saber-de-morte-de-cristiano-araujo-diz-boato.html
1764,"
Notícia do G1 “Cristiano Araújo morre, mas passa bem” é falsa
",brasil,www.boatos.org/brasil/noticia-do-g1-cristiano-araujo-morre-mas-passa-bem-e-falsa.html
1765,"
Vidente previu morte de Cristiano Araújo em carta?
",religiao,www.boatos.org/religiao/vidente-previu-morte-de-cristiano-araujo-em-carta.html
1766,"
Cobra gigante é encontrada no Pará, diz lorota
",brasil,www.boatos.org/brasil/cobra-gigante-e-encontrada-no-para-diz-lorota.html
1767,"
Informação errada: Cristiano Ronaldo morreu em acidente de carro
",esporte,www.boatos.org/esporte/informacao-errada-cristiano-ronaldo-morreu-em-acidente-de-carro.html
1768,"
Fumar narguilé é como fumar 100 cigarros?
",saude,www.boatos.org/saude/informacao-errada-fumar-narguile-faz-mais-mal-que-o-cigarro.html
1769,"
Projeto no Congresso acaba com os 30 dias de férias, diz boato
",politica,www.boatos.org/politica/projeto-no-congresso-acaba-com-os-30-dias-de-ferias-diz-boato.html
1770,"
Boatos na internet é tema de pesquisa de universidade no Rio
",opiniao,www.boatos.org/opiniao/boatos-na-internet-e-tema-de-pesquisa-de-universidade-no-rio.html
1771,"
Dilma tentou suicídio no Palácio do Alvorada, diz hoax
",politica,www.boatos.org/politica/dilma-tentou-suicidio-no-palacio-do-alvorada-diz-hoax.html
1772,"
Menina Elisa Mirela precisa de doação de sangue AB negativo #boato
",saude,www.boatos.org/saude/doacao-sangue-ab-elisa.html
1773,"
Rato frito é achado no KFC dos EUA, diz história falsa
",mundo,www.boatos.org/mundo/rato-frito-e-achado-no-kfc-dos-eua-diz-historia-falsa.html
1774,"
Dono da Tramontina era porteiro da zona, afirma boato
",brasil,www.boatos.org/brasil/dono-da-tramontina-era-porteiro-da-zona-afirma-boato.html
1775,"
Leia na íntrega o texto sobre o passado do fundador da Tramontina
",original,www.boatos.org/original/leia-na-intrega-o-texto-sobre-o-passado-do-fundador-da-tramontina.html
1776,"
Morre Renato Aragão, diz boato
",entretenimento,www.boatos.org/entretenimento/morre-renato-aragao-diz-boato.html
1777,"
Jean Wyllys propõe emenda à Bíblia para retirar trechos homofóbicos
",politica,www.boatos.org/politica/jean-wyllys-propoe-emenda-a-biblia-para-retirar-trechos-homofobicos.html
1778,"
Greve geral está marcada para dia 26/06 no Brasil
",politica,www.boatos.org/politica/greve-geral-esta-marcada-para-dia-2606-no-brasil.html
1779,"
Jô Soares morreu! Boato da morte de Jô se espalha na web
",entretenimento,www.boatos.org/entretenimento/jo-soares-morreu-boato-da-morte-de-jo-se-espalha-na-web.html
1780,"
Igreja Católica vai processar organizadores da Parada Gay, diz boato
",religiao,www.boatos.org/religiao/igreja-catolica-vai-processar-organizadores-da-parada-gay-diz-boato.html
1781,"
Lorota: homem faz 47 plásticas para ficar parecido com cão
",brasil,www.boatos.org/brasil/lorota-homem-faz-47-plasticas-para-ficar-parecido-com-cao.html
1782,"
Globo quer proibir que Neymar use faixa 100% Jesus
",esporte,www.boatos.org/esporte/globo-que-proibir-que-neymar-use-faixa-100-jesus.html
1783,"
Balela: letreiro do Shopping Botucatu é escrito errado como Bocutatu
",brasil,www.boatos.org/brasil/balela-botucatu-inaugura-shopping-com-nome-errado-no-letreiro.html
1784,"
Lula é vaiado em aeroporto brasileiro, conta boato
",politica,www.boatos.org/politica/lula-e-vaiado-em-aeroporto-brasileiro-conta-boato.html
1785,"
Balela: Fifa financiou reeleição de Dilma, diz FBI
",esporte,www.boatos.org/esporte/balela-fifa-financiou-reeleicao-de-dilma-diz-fbi.html
1786,"
Travesti que desfilou na Parada Gay como Jesus é morta, diz hoax
",brasil,www.boatos.org/brasil/travesti-que-desfilou-na-parada-gay-como-jesus-e-morta-diz-hoax.html
